Store,Period,Forecast Type,Feature,Feature Value,SHAP Value,Readable Feature,Effect
1,2015-05-01,Monthly,EMA_6,117881.6352,-13869.356,recent 6-month weighted sales trend,Decreases prediction
1,2015-05-01,Monthly,periods_since_last_promo,0.0,0.0,time since previous promotion,No effect
1,2015-05-01,Monthly,StoreType_a,0.0,126.3285,StoreType_a,Increases prediction
1,2015-05-01,Monthly,StoreType_b,0.0,-1.2291,StoreType_b,Decreases prediction
1,2015-05-01,Monthly,StoreType_c,1.0,11.5935,StoreType_c,Increases prediction
1,2015-05-01,Monthly,StoreType_d,0.0,-88.805,StoreType_d,Decreases prediction
1,2015-05-01,Monthly,Assortment_a,1.0,-640.584,Assortment_a,Decreases prediction
1,2015-05-01,Monthly,Assortment_b,0.0,-12.2585,Assortment_b,Decreases prediction
1,2015-05-01,Monthly,Assortment_c,0.0,-97.9691,Assortment_c,Decreases prediction
1,2015-05-01,Monthly,"PromoInterval_Feb,May,Aug,Nov",0.0,1.7768,"PromoInterval_Feb,May,Aug,Nov",Increases prediction
1,2015-05-01,Monthly,"PromoInterval_Jan,Apr,Jul,Oct",0.0,2.1237,"PromoInterval_Jan,Apr,Jul,Oct",Increases prediction
1,2015-05-01,Monthly,"PromoInterval_Mar,Jun,Sept,Dec",0.0,-13.3089,"PromoInterval_Mar,Jun,Sept,Dec",Decreases prediction
1,2015-05-01,Monthly,PromoInterval_none,1.0,0.0,PromoInterval_none,No effect
1,2015-06-01,Monthly,Store,1.0,61.064,Store,Increases prediction
1,2015-06-01,Monthly,OpenDays,25.0,-237.8661,number of open days,Decreases prediction
1,2015-06-01,Monthly,PromoDays,11.0,304.6479,promotion activity,Increases prediction
1,2015-06-01,Monthly,SchoolHolidayDays,0.0,368.3747,school holiday period,Increases prediction
1,2015-06-01,Monthly,WeekendDays,4.0,5.1956,weekend days,Increases prediction
1,2015-06-01,Monthly,MonthStartDays,1.0,244.4308,month-start timing,Increases prediction
1,2015-06-01,Monthly,MonthEndDays,1.0,164.84,month-end timing,Increases prediction
1,2015-06-01,Monthly,StateHolidayDays,25.0,-41.9347,state holiday period,Decreases prediction
1,2015-06-01,Monthly,Year,2015.0,0.0,calendar year,No effect
1,2015-06-01,Monthly,Month,6.0,147.0257,month of year,Increases prediction
1,2015-06-01,Monthly,Quarter,2.0,17.3366,quarter of year,Increases prediction
1,2015-06-01,Monthly,CompetitionDistance,1270.0,-31.0735,distance to nearest competitor,Decreases prediction
1,2015-06-01,Monthly,CompetitionOpenKnown,1.0,0.0129,competition opening date availability,Increases prediction
1,2015-06-01,Monthly,CompetitionOpenSinceMonth,9.0,-18.2919,CompetitionOpenSinceMonth,Decreases prediction
1,2015-06-01,Monthly,CompetitionOpenSinceYear,2008.0,233.5105,CompetitionOpenSinceYear,Increases prediction
1,2015-06-01,Monthly,Promo2,0.0,0.9148,long-term promotion participation,Increases prediction
1,2015-06-01,Monthly,Promo2SinceWeek,0.0,14.5359,Promo2SinceWeek,Increases prediction
1,2015-06-01,Monthly,Promo2SinceYear,0.0,-72.181,Promo2SinceYear,Decreases prediction
1,2015-06-01,Monthly,TimeIndex,30.0,1193.9277,time progression,Increases prediction
1,2015-06-01,Monthly,sales_lag_1,105220.0,-10040.853,previous period sales,Decreases prediction
1,2015-06-01,Monthly,sales_lag_2,110655.0,-356.5093,sales two periods ago,Decreases prediction
1,2015-06-01,Monthly,sales_lag_3,118917.0,-221.9882,sales three months ago,Decreases prediction
1,2015-06-01,Monthly,sales_lag_12,107905.0,-19992.438,sales twelve months ago,Decreases prediction
1,2015-06-01,Monthly,rolling_mean_3,111597.3333,-1261.112,recent 3-month average sales,Decreases prediction
1,2015-06-01,Monthly,rolling_std_3,6896.952,86.5368,recent 3-month sales variability,Increases prediction
1,2015-06-01,Monthly,rolling_mean_6,120342.5,-1738.0103,recent 6-month average sales,Decreases prediction
1,2015-06-01,Monthly,rolling_std_6,20823.8363,183.3997,recent 6-month sales variability,Increases prediction
1,2015-06-01,Monthly,EMA_3,109958.7422,-16633.555,recent 3-month weighted sales trend,Decreases prediction
1,2015-06-01,Monthly,EMA_6,114264.0251,-16086.306,recent 6-month weighted sales trend,Decreases prediction
1,2015-06-01,Monthly,periods_since_last_promo,0.0,0.0,time since previous promotion,No effect
1,2015-06-01,Monthly,StoreType_a,0.0,160.657,StoreType_a,Increases prediction
1,2015-06-01,Monthly,StoreType_b,0.0,-1.2138,StoreType_b,Decreases prediction
1,2015-06-01,Monthly,StoreType_c,1.0,18.1045,StoreType_c,Increases prediction
1,2015-06-01,Monthly,StoreType_d,0.0,-72.8277,StoreType_d,Decreases prediction
1,2015-06-01,Monthly,Assortment_a,1.0,-440.6267,Assortment_a,Decreases prediction
1,2015-06-01,Monthly,Assortment_b,0.0,-11.503,Assortment_b,Decreases prediction
1,2015-06-01,Monthly,Assortment_c,0.0,-107.9366,Assortment_c,Decreases prediction
1,2015-06-01,Monthly,"PromoInterval_Feb,May,Aug,Nov",0.0,1.7376,"PromoInterval_Feb,May,Aug,Nov",Increases prediction
1,2015-06-01,Monthly,"PromoInterval_Jan,Apr,Jul,Oct",0.0,1.167,"PromoInterval_Jan,Apr,Jul,Oct",Increases prediction
1,2015-06-01,Monthly,"PromoInterval_Mar,Jun,Sept,Dec",0.0,-1.6784,"PromoInterval_Mar,Jun,Sept,Dec",Decreases prediction
1,2015-06-01,Monthly,PromoInterval_none,1.0,0.0,PromoInterval_none,No effect
1,2015-07-01,Monthly,Store,1.0,58.3108,Store,Increases prediction
1,2015-07-01,Monthly,OpenDays,27.0,2322.41,number of open days,Increases prediction
1,2015-07-01,Monthly,PromoDays,13.0,1405.5492,promotion activity,Increases prediction
1,2015-07-01,Monthly,SchoolHolidayDays,5.0,416.2026,school holiday period,Increases prediction
1,2015-07-01,Monthly,WeekendDays,4.0,4.9631,weekend days,Increases prediction
1,2015-07-01,Monthly,MonthStartDays,1.0,228.1962,month-start timing,Increases prediction
1,2015-07-01,Monthly,MonthEndDays,1.0,144.7876,month-end timing,Increases prediction
1,2015-07-01,Monthly,StateHolidayDays,27.0,430.819,state holiday period,Increases prediction
1,2015-07-01,Monthly,Year,2015.0,0.0,calendar year,No effect
1,2015-07-01,Monthly,Month,7.0,0.1272,month of year,Increases prediction
1,2015-07-01,Monthly,Quarter,3.0,29.5754,quarter of year,Increases prediction
1,2015-07-01,Monthly,CompetitionDistance,1270.0,-99.29,distance to nearest competitor,Decreases prediction
1,2015-07-01,Monthly,CompetitionOpenKnown,1.0,0.0129,competition opening date availability,Increases prediction
1,2015-07-01,Monthly,CompetitionOpenSinceMonth,9.0,-18.2202,CompetitionOpenSinceMonth,Decreases prediction
1,2015-07-01,Monthly,CompetitionOpenSinceYear,2008.0,255.1808,CompetitionOpenSinceYear,Increases prediction
1,2015-07-01,Monthly,Promo2,0.0,0.8632,long-term promotion participation,Increases prediction
1,2015-07-01,Monthly,Promo2SinceWeek,0.0,14.9736,Promo2SinceWeek,Increases prediction
1,2015-07-01,Monthly,Promo2SinceYear,0.0,-74.9771,Promo2SinceYear,Decreases prediction
1,2015-07-01,Monthly,TimeIndex,31.0,675.1183,time progression,Increases prediction
1,2015-07-01,Monthly,sales_lag_1,110011.0,-9278.775,previous period sales,Decreases prediction
1,2015-07-01,Monthly,sales_lag_2,105220.0,-407.7204,sales two periods ago,Decreases prediction
1,2015-07-01,Monthly,sales_lag_3,110655.0,-146.2903,sales three months ago,Decreases prediction
1,2015-07-01,Monthly,sales_lag_12,122604.0,-18427.77,sales twelve months ago,Decreases prediction
1,2015-07-01,Monthly,rolling_mean_3,108628.6667,-879.2631,recent 3-month average sales,Decreases prediction
1,2015-07-01,Monthly,rolling_std_3,2969.5017,237.5967,recent 3-month sales variability,Increases prediction
1,2015-07-01,Monthly,rolling_mean_6,111840.0,-1944.3267,recent 6-month average sales,Decreases prediction
1,2015-07-01,Monthly,rolling_std_6,6099.1551,41.7851,recent 6-month sales variability,Increases prediction
1,2015-07-01,Monthly,EMA_3,109984.8711,-16895.621,recent 3-month weighted sales trend,Decreases prediction
1,2015-07-01,Monthly,EMA_6,113048.8751,-16626.281,recent 6-month weighted sales trend,Decreases prediction
1,2015-07-01,Monthly,periods_since_last_promo,0.0,0.0,time since previous promotion,No effect
1,2015-07-01,Monthly,StoreType_a,0.0,68.453,StoreType_a,Increases prediction
1,2015-07-01,Monthly,StoreType_b,0.0,-8.196,StoreType_b,Decreases prediction
1,2015-07-01,Monthly,StoreType_c,1.0,20.1262,StoreType_c,Increases prediction
1,2015-07-01,Monthly,StoreType_d,0.0,-89.753,StoreType_d,Decreases prediction
1,2015-07-01,Monthly,Assortment_a,1.0,-453.238,Assortment_a,Decreases prediction
1,2015-07-01,Monthly,Assortment_b,0.0,-12.7272,Assortment_b,Decreases prediction
1,2015-07-01,Monthly,Assortment_c,0.0,10.0392,Assortment_c,Increases prediction
1,2015-07-01,Monthly,"PromoInterval_Feb,May,Aug,Nov",0.0,0.4761,"PromoInterval_Feb,May,Aug,Nov",Increases prediction
1,2015-07-01,Monthly,"PromoInterval_Jan,Apr,Jul,Oct",0.0,9.0975,"PromoInterval_Jan,Apr,Jul,Oct",Increases prediction
1,2015-07-01,Monthly,"PromoInterval_Mar,Jun,Sept,Dec",0.0,-2.4855,"PromoInterval_Mar,Jun,Sept,Dec",Decreases prediction
1,2015-07-01,Monthly,PromoInterval_none,1.0,0.0,PromoInterval_none,No effect
2,2015-05-01,Monthly,Store,2.0,27.9267,Store,Increases prediction
2,2015-05-01,Monthly,OpenDays,23.0,-596.3014,number of open days,Decreases prediction
2,2015-05-01,Monthly,PromoDays,10.0,-1472.9425,promotion activity,Decreases prediction
2,2015-05-01,Monthly,SchoolHolidayDays,1.0,305.0602,school holiday period,Increases prediction
2,2015-05-01,Monthly,WeekendDays,5.0,10.1212,weekend days,Increases prediction
2,2015-05-01,Monthly,MonthStartDays,0.0,-485.0592,month-start timing,Decreases prediction
2,2015-05-01,Monthly,MonthEndDays,0.0,-947.9279,month-end timing,Decreases prediction
2,2015-05-01,Monthly,StateHolidayDays,23.0,-100.7104,state holiday period,Decreases prediction
2,2015-05-01,Monthly,Year,2015.0,0.0,calendar year,No effect
2,2015-05-01,Monthly,Month,5.0,46.0907,month of year,Increases prediction
2,2015-05-01,Monthly,Quarter,2.0,46.2474,quarter of year,Increases prediction
2,2015-05-01,Monthly,CompetitionDistance,570.0,-136.7368,distance to nearest competitor,Decreases prediction
2,2015-05-01,Monthly,CompetitionOpenKnown,1.0,0.0129,competition opening date availability,Increases prediction
2,2015-05-01,Monthly,CompetitionOpenSinceMonth,11.0,-53.6834,CompetitionOpenSinceMonth,Decreases prediction
2,2015-05-01,Monthly,CompetitionOpenSinceYear,2007.0,265.6817,CompetitionOpenSinceYear,Increases prediction
2,2015-05-01,Monthly,Promo2,1.0,-2.8773,long-term promotion participation,Decreases prediction
2,2015-05-01,Monthly,Promo2SinceWeek,13.0,15.5207,Promo2SinceWeek,Increases prediction
2,2015-05-01,Monthly,Promo2SinceYear,2010.0,-58.8914,Promo2SinceYear,Decreases prediction
2,2015-05-01,Monthly,TimeIndex,29.0,1359.229,time progression,Increases prediction
2,2015-05-01,Monthly,sales_lag_1,121012.0,-7188.7393,previous period sales,Decreases prediction
2,2015-05-01,Monthly,sales_lag_2,134574.0,-219.9459,sales two periods ago,Decreases prediction
2,2015-05-01,Monthly,sales_lag_3,114078.0,-239.7893,sales three months ago,Decreases prediction
2,2015-05-01,Monthly,sales_lag_12,118629.0,-19298.734,sales twelve months ago,Decreases prediction
2,2015-05-01,Monthly,rolling_mean_3,123221.3333,-1248.701,recent 3-month average sales,Decreases prediction
2,2015-05-01,Monthly,rolling_std_3,10425.0837,113.9594,recent 3-month sales variability,Increases prediction
2,2015-05-01,Monthly,rolling_mean_6,130706.5,-1336.7583,recent 6-month average sales,Decreases prediction
2,2015-05-01,Monthly,rolling_std_6,13869.9452,-47.7056,recent 6-month sales variability,Decreases prediction
2,2015-05-01,Monthly,EMA_3,125212.2479,-10956.516,recent 3-month weighted sales trend,Decreases prediction
2,2015-05-01,Monthly,EMA_6,126984.8199,-11671.535,recent 6-month weighted sales trend,Decreases prediction
2,2015-05-01,Monthly,periods_since_last_promo,0.0,0.0,time since previous promotion,No effect
2,2015-05-01,Monthly,StoreType_a,1.0,-89.9832,StoreType_a,Decreases prediction
2,2015-05-01,Monthly,StoreType_b,0.0,-1.3255,StoreType_b,Decreases prediction
2,2015-05-01,Monthly,StoreType_c,0.0,-4.467,StoreType_c,Decreases prediction
2,2015-05-01,Monthly,StoreType_d,0.0,-90.7463,StoreType_d,Decreases prediction
2,2015-05-01,Monthly,Assortment_a,1.0,-584.1806,Assortment_a,Decreases prediction
2,2015-05-01,Monthly,Assortment_b,0.0,-11.8312,Assortment_b,Decreases prediction
2,2015-05-01,Monthly,Assortment_c,0.0,-100.1692,Assortment_c,Decreases prediction
2,2015-05-01,Monthly,"PromoInterval_Feb,May,Aug,Nov",0.0,1.004,"PromoInterval_Feb,May,Aug,Nov",Increases prediction
2,2015-05-01,Monthly,"PromoInterval_Jan,Apr,Jul,Oct",1.0,-10.55,"PromoInterval_Jan,Apr,Jul,Oct",Decreases prediction
2,2015-05-01,Monthly,"PromoInterval_Mar,Jun,Sept,Dec",0.0,-13.2207,"PromoInterval_Mar,Jun,Sept,Dec",Decreases prediction
2,2015-05-01,Monthly,PromoInterval_none,0.0,0.0,PromoInterval_none,No effect
2,2015-06-01,Monthly,Store,2.0,45.3354,Store,Increases prediction
2,2015-06-01,Monthly,OpenDays,26.0,-202.5546,number of open days,Decreases prediction
2,2015-06-01,Monthly,PromoDays,12.0,274.035,promotion activity,Increases prediction
2,2015-06-01,Monthly,SchoolHolidayDays,0.0,397.6638,school holiday period,Increases prediction
2,2015-06-01,Monthly,WeekendDays,4.0,13.5325,weekend days,Increases prediction
2,2015-06-01,Monthly,MonthStartDays,1.0,221.455,month-start timing,Increases prediction
2,2015-06-01,Monthly,MonthEndDays,1.0,184.3523,month-end timing,Increases prediction
2,2015-06-01,Monthly,StateHolidayDays,26.0,-56.7051,state holiday period,Decreases prediction
2,2015-06-01,Monthly,Year,2015.0,0.0,calendar year,No effect
2,2015-06-01,Monthly,Month,6.0,-49.3316,month of year,Decreases prediction
2,2015-06-01,Monthly,Quarter,2.0,9.028,quarter of year,Increases prediction
2,2015-06-01,Monthly,CompetitionDistance,570.0,-82.8693,distance to nearest competitor,Decreases prediction
2,2015-06-01,Monthly,CompetitionOpenKnown,1.0,0.0129,competition opening date availability,Increases prediction
2,2015-06-01,Monthly,CompetitionOpenSinceMonth,11.0,-68.8608,CompetitionOpenSinceMonth,Decreases prediction
2,2015-06-01,Monthly,CompetitionOpenSinceYear,2007.0,283.4682,CompetitionOpenSinceYear,Increases prediction
2,2015-06-01,Monthly,Promo2,1.0,-3.4058,long-term promotion participation,Decreases prediction
2,2015-06-01,Monthly,Promo2SinceWeek,13.0,9.5333,Promo2SinceWeek,Increases prediction
2,2015-06-01,Monthly,Promo2SinceYear,2010.0,-64.3222,Promo2SinceYear,Decreases prediction
2,2015-06-01,Monthly,TimeIndex,30.0,1099.092,time progression,Increases prediction
2,2015-06-01,Monthly,sales_lag_1,115535.0,-8231.558,previous period sales,Decreases prediction
2,2015-06-01,Monthly,sales_lag_2,121012.0,-283.8112,sales two periods ago,Decreases prediction
2,2015-06-01,Monthly,sales_lag_3,134574.0,-182.6789,sales three months ago,Decreases prediction
2,2015-06-01,Monthly,sales_lag_12,122758.0,-18932.004,sales twelve months ago,Decreases prediction
2,2015-06-01,Monthly,rolling_mean_3,123707.0,-1234.4158,recent 3-month average sales,Decreases prediction
2,2015-06-01,Monthly,rolling_std_3,9801.4361,155.1256,recent 3-month sales variability,Increases prediction
2,2015-06-01,Monthly,rolling_mean_6,127852.8333,-1746.1462,recent 6-month average sales,Decreases prediction
2,2015-06-01,Monthly,rolling_std_6,15095.6046,81.8924,recent 6-month sales variability,Increases prediction
2,2015-06-01,Monthly,EMA_3,120373.624,-12195.127,recent 3-month weighted sales trend,Decreases prediction
2,2015-06-01,Monthly,EMA_6,123713.4428,-12195.661,recent 6-month weighted sales trend,Decreases prediction
2,2015-06-01,Monthly,periods_since_last_promo,0.0,0.0,time since previous promotion,No effect
2,2015-06-01,Monthly,StoreType_a,1.0,-60.2273,StoreType_a,Decreases prediction
2,2015-06-01,Monthly,StoreType_b,0.0,-1.3102,StoreType_b,Decreases prediction
2,2015-06-01,Monthly,StoreType_c,0.0,-4.3951,StoreType_c,Decreases prediction
2,2015-06-01,Monthly,StoreType_d,0.0,-74.8025,StoreType_d,Decreases prediction
2,2015-06-01,Monthly,Assortment_a,1.0,-370.1867,Assortment_a,Decreases prediction
2,2015-06-01,Monthly,Assortment_b,0.0,-11.0756,Assortment_b,Decreases prediction
2,2015-06-01,Monthly,Assortment_c,0.0,-65.5866,Assortment_c,Decreases prediction
2,2015-06-01,Monthly,"PromoInterval_Feb,May,Aug,Nov",0.0,0.9648,"PromoInterval_Feb,May,Aug,Nov",Increases prediction
2,2015-06-01,Monthly,"PromoInterval_Jan,Apr,Jul,Oct",1.0,4.03,"PromoInterval_Jan,Apr,Jul,Oct",Increases prediction
2,2015-06-01,Monthly,"PromoInterval_Mar,Jun,Sept,Dec",0.0,-1.5902,"PromoInterval_Mar,Jun,Sept,Dec",Decreases prediction
2,2015-06-01,Monthly,PromoInterval_none,0.0,0.0,PromoInterval_none,No effect
2,2015-07-01,Monthly,Store,2.0,34.6505,Store,Increases prediction
2,2015-07-01,Monthly,OpenDays,27.0,2322.9885,number of open days,Increases prediction
2,2015-07-01,Monthly,PromoDays,13.0,2131.3777,promotion activity,Increases prediction
2,2015-07-01,Monthly,SchoolHolidayDays,15.0,-755.049,school holiday period,Decreases prediction
2,2015-07-01,Monthly,WeekendDays,4.0,187.8871,weekend days,Increases prediction
2,2015-07-01,Monthly,MonthStartDays,1.0,204.2415,month-start timing,Increases prediction
2,2015-07-01,Monthly,MonthEndDays,1.0,148.0245,month-end timing,Increases prediction
2,2015-07-01,Monthly,StateHolidayDays,27.0,604.1192,state holiday period,Increases prediction
2,2015-07-01,Monthly,Year,2015.0,0.0,calendar year,No effect
2,2015-07-01,Monthly,Month,7.0,-408.5094,month of year,Decreases prediction
2,2015-07-01,Monthly,Quarter,3.0,27.4798,quarter of year,Increases prediction
2,2015-07-01,Monthly,CompetitionDistance,570.0,-158.2033,distance to nearest competitor,Decreases prediction
2,2015-07-01,Monthly,CompetitionOpenKnown,1.0,0.0129,competition opening date availability,Increases prediction
2,2015-07-01,Monthly,CompetitionOpenSinceMonth,11.0,-56.2453,CompetitionOpenSinceMonth,Decreases prediction
2,2015-07-01,Monthly,CompetitionOpenSinceYear,2007.0,319.9286,CompetitionOpenSinceYear,Increases prediction
2,2015-07-01,Monthly,Promo2,1.0,-4.307,long-term promotion participation,Decreases prediction
2,2015-07-01,Monthly,Promo2SinceWeek,13.0,9.4246,Promo2SinceWeek,Increases prediction
2,2015-07-01,Monthly,Promo2SinceYear,2010.0,-72.2122,Promo2SinceYear,Decreases prediction
2,2015-07-01,Monthly,TimeIndex,31.0,866.6506,time progression,Increases prediction
2,2015-07-01,Monthly,sales_lag_1,132800.0,-6006.335,previous period sales,Decreases prediction
2,2015-07-01,Monthly,sales_lag_2,115535.0,-504.1746,sales two periods ago,Decreases prediction
2,2015-07-01,Monthly,sales_lag_3,121012.0,-195.9334,sales three months ago,Decreases prediction
2,2015-07-01,Monthly,sales_lag_12,132209.0,-16324.789,sales twelve months ago,Decreases prediction
2,2015-07-01,Monthly,rolling_mean_3,123115.6667,-1057.7057,recent 3-month average sales,Decreases prediction
2,2015-07-01,Monthly,rolling_std_3,8822.6479,232.9957,recent 3-month sales variability,Increases prediction
2,2015-07-01,Monthly,rolling_mean_6,124249.5,-1719.3218,recent 6-month average sales,Decreases prediction
2,2015-07-01,Monthly,rolling_std_6,8719.4315,27.9457,recent 6-month sales variability,Increases prediction
2,2015-07-01,Monthly,EMA_3,126586.812,-10825.225,recent 3-month weighted sales trend,Decreases prediction
2,2015-07-01,Monthly,EMA_6,126309.602,-11249.045,recent 6-month weighted sales trend,Decreases prediction
2,2015-07-01,Monthly,periods_since_last_promo,0.0,0.0,time since previous promotion,No effect
2,2015-07-01,Monthly,StoreType_a,1.0,-57.9628,StoreType_a,Decreases prediction
2,2015-07-01,Monthly,StoreType_b,0.0,-8.2924,StoreType_b,Decreases prediction
2,2015-07-01,Monthly,StoreType_c,0.0,-5.665,StoreType_c,Decreases prediction
2,2015-07-01,Monthly,StoreType_d,0.0,-81.8008,StoreType_d,Decreases prediction
2,2015-07-01,Monthly,Assortment_a,1.0,-483.5324,Assortment_a,Decreases prediction
2,2015-07-01,Monthly,Assortment_b,0.0,-12.6745,Assortment_b,Decreases prediction
2,2015-07-01,Monthly,Assortment_c,0.0,-8.8241,Assortment_c,Decreases prediction
2,2015-07-01,Monthly,"PromoInterval_Feb,May,Aug,Nov",0.0,-0.3921,"PromoInterval_Feb,May,Aug,Nov",Decreases prediction
2,2015-07-01,Monthly,"PromoInterval_Jan,Apr,Jul,Oct",1.0,-111.041,"PromoInterval_Jan,Apr,Jul,Oct",Decreases prediction
2,2015-07-01,Monthly,"PromoInterval_Mar,Jun,Sept,Dec",0.0,-2.2267,"PromoInterval_Mar,Jun,Sept,Dec",Decreases prediction
2,2015-07-01,Monthly,PromoInterval_none,0.0,0.0,PromoInterval_none,No effect
3,2015-05-01,Monthly,Store,3.0,47.483,Store,Increases prediction
3,2015-05-01,Monthly,OpenDays,23.0,-627.389,number of open days,Decreases prediction
3,2015-05-01,Monthly,PromoDays,10.0,-1857.6904,promotion activity,Decreases prediction
3,2015-05-01,Monthly,SchoolHolidayDays,1.0,362.1286,school holiday period,Increases prediction
3,2015-05-01,Monthly,WeekendDays,5.0,21.3148,weekend days,Increases prediction
3,2015-05-01,Monthly,MonthStartDays,0.0,-638.0404,month-start timing,Decreases prediction
3,2015-05-01,Monthly,MonthEndDays,0.0,-1026.4229,month-end timing,Decreases prediction
3,2015-05-01,Monthly,StateHolidayDays,23.0,-166.0241,state holiday period,Decreases prediction
3,2015-05-01,Monthly,Year,2015.0,0.0,calendar year,No effect
3,2015-05-01,Monthly,Month,5.0,-611.9953,month of year,Decreases prediction
3,2015-05-01,Monthly,Quarter,2.0,12.2917,quarter of year,Increases prediction
3,2015-05-01,Monthly,CompetitionDistance,14130.0,207.2879,distance to nearest competitor,Increases prediction
3,2015-05-01,Monthly,CompetitionOpenKnown,1.0,0.2184,competition opening date availability,Increases prediction
3,2015-05-01,Monthly,CompetitionOpenSinceMonth,12.0,-53.7314,CompetitionOpenSinceMonth,Decreases prediction
3,2015-05-01,Monthly,CompetitionOpenSinceYear,2006.0,198.1804,CompetitionOpenSinceYear,Increases prediction
3,2015-05-01,Monthly,Promo2,1.0,-2.8773,long-term promotion participation,Decreases prediction
3,2015-05-01,Monthly,Promo2SinceWeek,14.0,2.8081,Promo2SinceWeek,Increases prediction
3,2015-05-01,Monthly,Promo2SinceYear,2011.0,-49.8717,Promo2SinceYear,Decreases prediction
3,2015-05-01,Monthly,TimeIndex,29.0,1708.1548,time progression,Increases prediction
3,2015-05-01,Monthly,sales_lag_1,171183.0,-2571.5754,previous period sales,Decreases prediction
3,2015-05-01,Monthly,sales_lag_2,176835.0,320.1478,sales two periods ago,Increases prediction
3,2015-05-01,Monthly,sales_lag_3,153537.0,-324.132,sales three months ago,Decreases prediction
3,2015-05-01,Monthly,sales_lag_12,163497.0,-9411.268,sales twelve months ago,Decreases prediction
3,2015-05-01,Monthly,rolling_mean_3,167185.0,266.3108,recent 3-month average sales,Increases prediction
3,2015-05-01,Monthly,rolling_std_3,12152.6624,153.3517,recent 3-month sales variability,Increases prediction
3,2015-05-01,Monthly,rolling_mean_6,176525.6667,-558.0036,recent 6-month average sales,Decreases prediction
3,2015-05-01,Monthly,rolling_std_6,19306.4771,-121.4604,recent 6-month sales variability,Decreases prediction
3,2015-05-01,Monthly,EMA_3,171481.5693,4111.175,recent 3-month weighted sales trend,Increases prediction
3,2015-05-01,Monthly,EMA_6,172439.615,3472.0457,recent 6-month weighted sales trend,Increases prediction
3,2015-05-01,Monthly,periods_since_last_promo,0.0,0.0,time since previous promotion,No effect
3,2015-05-01,Monthly,StoreType_a,1.0,-126.9763,StoreType_a,Decreases prediction
3,2015-05-01,Monthly,StoreType_b,0.0,-3.2089,StoreType_b,Decreases prediction
3,2015-05-01,Monthly,StoreType_c,0.0,-22.934,StoreType_c,Decreases prediction
3,2015-05-01,Monthly,StoreType_d,0.0,-96.145,StoreType_d,Decreases prediction
3,2015-05-01,Monthly,Assortment_a,1.0,-709.7824,Assortment_a,Decreases prediction
3,2015-05-01,Monthly,Assortment_b,0.0,-13.2138,Assortment_b,Decreases prediction
3,2015-05-01,Monthly,Assortment_c,0.0,-139.5108,Assortment_c,Decreases prediction
