Store,Period,Forecast Type,Predicted Sales,Actual Sales,Important Positive Factors,Important Negative Factors,Business Message
1,2015-07-13,Weekly,29713.34,28548.0,"promotion activity, time since last promotion, number of open days","PromoInterval_Mar,Jun,Sept,Dec, PromoInterval_none, quarter of year","Weekly demand forecast: 29,713 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, number of open days. Main factors reducing the forecast: PromoInterval_Mar,Jun,Sept,Dec, PromoInterval_none, quarter of year. Recommendation: maintain standard inventory levels; monitor demand changes."
1,2015-07-20,Weekly,22313.17,23256.0,"number of open days, recent 12-week demand volatility, school holiday period","PromoInterval_Jan,Apr,Jul,Oct, quarter of year, PromoInterval_none","Weekly demand forecast: 22,313 sales units. Main factors increasing the forecast: number of open days, recent 12-week demand volatility, school holiday period. Main factors reducing the forecast: PromoInterval_Jan,Apr,Jul,Oct, quarter of year, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
1,2015-07-27,Weekly,27657.33,26178.0,"promotion activity, time progression, time since last promotion","recent 12-week demand volatility, PromoInterval_Jan,Apr,Jul,Oct, PromoInterval_none","Weekly demand forecast: 27,657 sales units. Main factors increasing the forecast: promotion activity, time progression, time since last promotion. Main factors reducing the forecast: recent 12-week demand volatility, PromoInterval_Jan,Apr,Jul,Oct, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
2,2015-05-04,Weekly,33206.54,33592.0,"promotion activity, week of year, number of open days","Year, PromoInterval_Mar,Jun,Sept,Dec, quarter of year","Weekly demand forecast: 33,207 sales units. Main factors increasing the forecast: promotion activity, week of year, number of open days. Main factors reducing the forecast: Year, PromoInterval_Mar,Jun,Sept,Dec, quarter of year. Recommendation: maintain standard inventory levels; monitor demand changes."
2,2015-05-11,Weekly,22007.05,22626.0,"recent 12-week demand volatility, school holiday period, CompetitionOpenSinceYear","Assortment_b, weekend days, CompetitionOpenKnown","Weekly demand forecast: 22,007 sales units. Main factors increasing the forecast: recent 12-week demand volatility, school holiday period, CompetitionOpenSinceYear. Main factors reducing the forecast: Assortment_b, weekend days, CompetitionOpenKnown. Recommendation: maintain standard inventory levels; monitor demand changes."
2,2015-05-18,Weekly,31610.49,33889.0,"promotion activity, time since last promotion, number of open days","state holiday period, PromoInterval_Feb,May,Aug,Nov, quarter of year","Weekly demand forecast: 31,610 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, number of open days. Main factors reducing the forecast: state holiday period, PromoInterval_Feb,May,Aug,Nov, quarter of year. Recommendation: maintain standard inventory levels; monitor demand changes."
2,2015-05-25,Weekly,21341.45,21838.0,"week of year, school holiday period, recent 12-week demand volatility","Assortment_b, weekend days, CompetitionOpenKnown","Weekly demand forecast: 21,341 sales units. Main factors increasing the forecast: week of year, school holiday period, recent 12-week demand volatility. Main factors reducing the forecast: Assortment_b, weekend days, CompetitionOpenKnown. Recommendation: maintain standard inventory levels; monitor demand changes."
2,2015-06-01,Weekly,36034.47,33799.0,"promotion activity, month-start timing, week of year","PromoInterval_Mar,Jun,Sept,Dec, quarter of year, PromoInterval_Feb,May,Aug,Nov","Weekly demand forecast: 36,034 sales units. Main factors increasing the forecast: promotion activity, month-start timing, week of year. Main factors reducing the forecast: PromoInterval_Mar,Jun,Sept,Dec, quarter of year, PromoInterval_Feb,May,Aug,Nov. Recommendation: maintain standard inventory levels; monitor demand changes."
2,2015-06-08,Weekly,22715.19,23403.0,"number of open days, school holiday period, recent 12-week demand volatility","PromoInterval_Mar,Jun,Sept,Dec, Assortment_b, CompetitionOpenKnown","Weekly demand forecast: 22,715 sales units. Main factors increasing the forecast: number of open days, school holiday period, recent 12-week demand volatility. Main factors reducing the forecast: PromoInterval_Mar,Jun,Sept,Dec, Assortment_b, CompetitionOpenKnown. Recommendation: maintain standard inventory levels; monitor demand changes."
2,2015-06-15,Weekly,33815.23,34373.0,"promotion activity, time since last promotion, number of open days","quarter of year, PromoInterval_Mar,Jun,Sept,Dec, PromoInterval_Feb,May,Aug,Nov","Weekly demand forecast: 33,815 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, number of open days. Main factors reducing the forecast: quarter of year, PromoInterval_Mar,Jun,Sept,Dec, PromoInterval_Feb,May,Aug,Nov. Recommendation: maintain standard inventory levels; monitor demand changes."
2,2015-06-22,Weekly,23434.58,23401.0,"number of open days, school holiday period, week of year","PromoInterval_Mar,Jun,Sept,Dec, Assortment_b, quarter of year","Weekly demand forecast: 23,435 sales units. Main factors increasing the forecast: number of open days, school holiday period, week of year. Main factors reducing the forecast: PromoInterval_Mar,Jun,Sept,Dec, Assortment_b, quarter of year. Recommendation: maintain standard inventory levels; monitor demand changes."
2,2015-06-29,Weekly,36885.84,39757.0,"promotion activity, month-start timing, number of open days","state holiday period, quarter of year, PromoInterval_Mar,Jun,Sept,Dec","Weekly demand forecast: 36,886 sales units. Main factors increasing the forecast: promotion activity, month-start timing, number of open days. Main factors reducing the forecast: state holiday period, quarter of year, PromoInterval_Mar,Jun,Sept,Dec. Recommendation: maintain standard inventory levels; monitor demand changes."
2,2015-07-06,Weekly,23843.6,25264.0,"number of open days, week of year, school holiday period","Year, PromoInterval_Mar,Jun,Sept,Dec, Assortment_b","Weekly demand forecast: 23,844 sales units. Main factors increasing the forecast: number of open days, week of year, school holiday period. Main factors reducing the forecast: Year, PromoInterval_Mar,Jun,Sept,Dec, Assortment_b. Recommendation: maintain standard inventory levels; monitor demand changes."
2,2015-07-13,Weekly,34064.08,32399.0,"promotion activity, time since last promotion, number of open days","PromoInterval_Feb,May,Aug,Nov, Year, quarter of year","Weekly demand forecast: 34,064 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, number of open days. Main factors reducing the forecast: PromoInterval_Feb,May,Aug,Nov, Year, quarter of year. Recommendation: maintain standard inventory levels; monitor demand changes."
2,2015-07-20,Weekly,22943.65,23838.0,"number of open days, recent 12-week demand volatility, CompetitionOpenSinceYear","Year, StoreType_c, Assortment_b","Weekly demand forecast: 22,944 sales units. Main factors increasing the forecast: number of open days, recent 12-week demand volatility, CompetitionOpenSinceYear. Main factors reducing the forecast: Year, StoreType_c, Assortment_b. Recommendation: maintain standard inventory levels; monitor demand changes."
2,2015-07-27,Weekly,32745.7,30331.0,"promotion activity, month-end timing, time progression","state holiday period, Promo2SinceWeek, StoreType_c","Weekly demand forecast: 32,746 sales units. Main factors increasing the forecast: promotion activity, month-end timing, time progression. Main factors reducing the forecast: state holiday period, Promo2SinceWeek, StoreType_c. Recommendation: maintain standard inventory levels; monitor demand changes."
3,2015-05-04,Weekly,47317.19,50065.0,"promotion activity, week of year, number of open days","PromoInterval_Mar,Jun,Sept,Dec, Year, long-term promotion participation","Weekly demand forecast: 47,317 sales units. Main factors increasing the forecast: promotion activity, week of year, number of open days. Main factors reducing the forecast: PromoInterval_Mar,Jun,Sept,Dec, Year, long-term promotion participation. Recommendation: maintain standard inventory levels; monitor demand changes."
3,2015-05-11,Weekly,30925.57,30507.0,"recent 12-week average demand, recent 4-week average demand, recent 4-week weighted trend","weekend days, Assortment_b, StoreType_c","Weekly demand forecast: 30,926 sales units. Main factors increasing the forecast: recent 12-week average demand, recent 4-week average demand, recent 4-week weighted trend. Main factors reducing the forecast: weekend days, Assortment_b, StoreType_c. Recommendation: maintain standard inventory levels; monitor demand changes."
3,2015-05-18,Weekly,45412.93,46638.0,"promotion activity, time since last promotion, time progression","state holiday period, PromoInterval_Feb,May,Aug,Nov, Year","Weekly demand forecast: 45,413 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, time progression. Main factors reducing the forecast: state holiday period, PromoInterval_Feb,May,Aug,Nov, Year. Recommendation: maintain standard inventory levels; monitor demand changes."
3,2015-05-25,Weekly,29627.68,30470.0,"recent 4-week average demand, week of year, recent 12-week average demand","Assortment_b, weekend days, quarter of year","Weekly demand forecast: 29,628 sales units. Main factors increasing the forecast: recent 4-week average demand, week of year, recent 12-week average demand. Main factors reducing the forecast: Assortment_b, weekend days, quarter of year. Recommendation: maintain standard inventory levels; monitor demand changes."
3,2015-06-01,Weekly,45930.69,45946.0,"promotion activity, time since last promotion, sales four weeks ago","Promo2SinceYear, Assortment_b, StoreType_c","Weekly demand forecast: 45,931 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, sales four weeks ago. Main factors reducing the forecast: Promo2SinceYear, Assortment_b, StoreType_c. Recommendation: maintain standard inventory levels; monitor demand changes."
3,2015-06-08,Weekly,31641.18,36658.0,"number of open days, recent 4-week weighted trend, school holiday period","Assortment_b, quarter of year, PromoInterval_Feb,May,Aug,Nov","Weekly demand forecast: 31,641 sales units. Main factors increasing the forecast: number of open days, recent 4-week weighted trend, school holiday period. Main factors reducing the forecast: Assortment_b, quarter of year, PromoInterval_Feb,May,Aug,Nov. Recommendation: maintain standard inventory levels; monitor demand changes."
3,2015-06-15,Weekly,48759.98,48624.0,"promotion activity, time since last promotion, recent 4-week average demand","Year, PromoInterval_Mar,Jun,Sept,Dec, Assortment_a","Weekly demand forecast: 48,760 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, recent 4-week average demand. Main factors reducing the forecast: Year, PromoInterval_Mar,Jun,Sept,Dec, Assortment_a. Recommendation: maintain standard inventory levels; monitor demand changes."
3,2015-06-22,Weekly,34093.46,35186.0,"number of open days, recent 4-week weighted trend, recent 12-week average demand","recent 12-week demand volatility, Assortment_b, PromoInterval_Feb,May,Aug,Nov","Weekly demand forecast: 34,093 sales units. Main factors increasing the forecast: number of open days, recent 4-week weighted trend, recent 12-week average demand. Main factors reducing the forecast: recent 12-week demand volatility, Assortment_b, PromoInterval_Feb,May,Aug,Nov. Recommendation: maintain standard inventory levels; monitor demand changes."
3,2015-06-29,Weekly,49180.95,51896.0,"promotion activity, same week last year, month-start timing","Year, Promo2SinceWeek, weekend days","Weekly demand forecast: 49,181 sales units. Main factors increasing the forecast: promotion activity, same week last year, month-start timing. Main factors reducing the forecast: Year, Promo2SinceWeek, weekend days. Recommendation: maintain standard inventory levels; monitor demand changes."
3,2015-07-06,Weekly,34746.67,36203.0,"recent 12-week average demand, number of open days, recent 4-week weighted trend","PromoInterval_Mar,Jun,Sept,Dec, Assortment_b, PromoInterval_Feb,May,Aug,Nov","Weekly demand forecast: 34,747 sales units. Main factors increasing the forecast: recent 12-week average demand, number of open days, recent 4-week weighted trend. Main factors reducing the forecast: PromoInterval_Mar,Jun,Sept,Dec, Assortment_b, PromoInterval_Feb,May,Aug,Nov. Recommendation: maintain standard inventory levels; monitor demand changes."
3,2015-07-13,Weekly,48464.35,45596.0,"promotion activity, recent 4-week average demand, recent 12-week average demand","Promo2SinceWeek, PromoInterval_Mar,Jun,Sept,Dec, Year","Weekly demand forecast: 48,464 sales units. Main factors increasing the forecast: promotion activity, recent 4-week average demand, recent 12-week average demand. Main factors reducing the forecast: Promo2SinceWeek, PromoInterval_Mar,Jun,Sept,Dec, Year. Recommendation: maintain standard inventory levels; monitor demand changes."
3,2015-07-20,Weekly,33345.38,31472.0,"recent 12-week average demand, number of open days, recent 4-week weighted trend","Year, PromoInterval_Feb,May,Aug,Nov, Assortment_b","Weekly demand forecast: 33,345 sales units. Main factors increasing the forecast: recent 12-week average demand, number of open days, recent 4-week weighted trend. Main factors reducing the forecast: Year, PromoInterval_Feb,May,Aug,Nov, Assortment_b. Recommendation: maintain standard inventory levels; monitor demand changes."
3,2015-07-27,Weekly,43674.38,41872.0,"promotion activity, recent 4-week average demand, sales four weeks ago","state holiday period, Year, PromoInterval_Mar,Jun,Sept,Dec","Weekly demand forecast: 43,674 sales units. Main factors increasing the forecast: promotion activity, recent 4-week average demand, sales four weeks ago. Main factors reducing the forecast: state holiday period, Year, PromoInterval_Mar,Jun,Sept,Dec. Recommendation: maintain standard inventory levels; monitor demand changes."
4,2015-05-04,Weekly,65554.6,62444.0,"promotion activity, recent 12-week average demand, same week last year","PromoInterval_Mar,Jun,Sept,Dec, Year, PromoInterval_none","Weekly demand forecast: 65,555 sales units. Main factors increasing the forecast: promotion activity, recent 12-week average demand, same week last year. Main factors reducing the forecast: PromoInterval_Mar,Jun,Sept,Dec, Year, PromoInterval_none. Recommendation: plan higher stock and staffing for this period."
4,2015-05-11,Weekly,47656.12,47269.0,"recent 12-week average demand, recent 8-week weighted trend, recent 8-week average demand","CompetitionOpenKnown, PromoInterval_Jan,Apr,Jul,Oct, PromoInterval_none","Weekly demand forecast: 47,656 sales units. Main factors increasing the forecast: recent 12-week average demand, recent 8-week weighted trend, recent 8-week average demand. Main factors reducing the forecast: CompetitionOpenKnown, PromoInterval_Jan,Apr,Jul,Oct, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
4,2015-05-18,Weekly,63043.9,60327.0,"promotion activity, recent 12-week average demand, same week last year","quarter of year, Year, PromoInterval_none","Weekly demand forecast: 63,044 sales units. Main factors increasing the forecast: promotion activity, recent 12-week average demand, same week last year. Main factors reducing the forecast: quarter of year, Year, PromoInterval_none. Recommendation: plan higher stock and staffing for this period."
4,2015-05-25,Weekly,45928.71,50158.0,"recent 12-week average demand, recent 8-week weighted trend, same week last year","quarter of year, CompetitionOpenKnown, PromoInterval_none","Weekly demand forecast: 45,929 sales units. Main factors increasing the forecast: recent 12-week average demand, recent 8-week weighted trend, same week last year. Main factors reducing the forecast: quarter of year, CompetitionOpenKnown, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
4,2015-06-01,Weekly,70015.82,64404.0,"promotion activity, same week last year, recent 12-week average demand","PromoInterval_none, Promo2SinceWeek, CompetitionOpenKnown","Weekly demand forecast: 70,016 sales units. Main factors increasing the forecast: promotion activity, same week last year, recent 12-week average demand. Main factors reducing the forecast: PromoInterval_none, Promo2SinceWeek, CompetitionOpenKnown. Recommendation: plan higher stock and staffing for this period."
4,2015-06-08,Weekly,49557.45,50162.0,"recent 12-week average demand, recent 8-week weighted trend, recent 8-week average demand","weekend days, StoreType_b, PromoInterval_none","Weekly demand forecast: 49,557 sales units. Main factors increasing the forecast: recent 12-week average demand, recent 8-week weighted trend, recent 8-week average demand. Main factors reducing the forecast: weekend days, StoreType_b, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
4,2015-06-15,Weekly,66459.56,60694.0,"promotion activity, recent 12-week average demand, same week last year","Promo2SinceWeek, PromoInterval_none, CompetitionOpenKnown","Weekly demand forecast: 66,460 sales units. Main factors increasing the forecast: promotion activity, recent 12-week average demand, same week last year. Main factors reducing the forecast: Promo2SinceWeek, PromoInterval_none, CompetitionOpenKnown. Recommendation: plan higher stock and staffing for this period."
4,2015-06-22,Weekly,49972.84,48585.0,"recent 12-week average demand, recent 8-week weighted trend, recent 8-week average demand","StoreType_b, weekend days, PromoInterval_none","Weekly demand forecast: 49,973 sales units. Main factors increasing the forecast: recent 12-week average demand, recent 8-week weighted trend, recent 8-week average demand. Main factors reducing the forecast: StoreType_b, weekend days, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
4,2015-06-29,Weekly,69586.02,67238.0,"same week last year, promotion activity, recent 12-week average demand","PromoInterval_none, CompetitionOpenKnown, Assortment_b","Weekly demand forecast: 69,586 sales units. Main factors increasing the forecast: same week last year, promotion activity, recent 12-week average demand. Main factors reducing the forecast: PromoInterval_none, CompetitionOpenKnown, Assortment_b. Recommendation: plan higher stock and staffing for this period."
4,2015-07-06,Weekly,53239.44,55980.0,"recent 12-week average demand, same week last year, recent 8-week weighted trend","quarter of year, CompetitionOpenKnown, PromoInterval_none","Weekly demand forecast: 53,239 sales units. Main factors increasing the forecast: recent 12-week average demand, same week last year, recent 8-week weighted trend. Main factors reducing the forecast: quarter of year, CompetitionOpenKnown, PromoInterval_none. Recommendation: plan higher stock and staffing for this period."
4,2015-07-13,Weekly,69109.7,68640.0,"promotion activity, same week last year, recent 12-week average demand","Year, PromoInterval_none, CompetitionOpenKnown","Weekly demand forecast: 69,110 sales units. Main factors increasing the forecast: promotion activity, same week last year, recent 12-week average demand. Main factors reducing the forecast: Year, PromoInterval_none, CompetitionOpenKnown. Recommendation: plan higher stock and staffing for this period."
4,2015-07-20,Weekly,51784.73,52892.0,"recent 12-week average demand, recent 8-week weighted trend, recent 4-week weighted trend","PromoInterval_Jan,Apr,Jul,Oct, quarter of year, PromoInterval_none","Weekly demand forecast: 51,785 sales units. Main factors increasing the forecast: recent 12-week average demand, recent 8-week weighted trend, recent 4-week weighted trend. Main factors reducing the forecast: PromoInterval_Jan,Apr,Jul,Oct, quarter of year, PromoInterval_none. Recommendation: plan higher stock and staffing for this period."
4,2015-07-27,Weekly,57617.99,56983.0,"promotion activity, recent 12-week average demand, same week last year","PromoInterval_Jan,Apr,Jul,Oct, PromoInterval_none, CompetitionOpenKnown","Weekly demand forecast: 57,618 sales units. Main factors increasing the forecast: promotion activity, recent 12-week average demand, same week last year. Main factors reducing the forecast: PromoInterval_Jan,Apr,Jul,Oct, PromoInterval_none, CompetitionOpenKnown. Recommendation: plan higher stock and staffing for this period."
5,2015-05-04,Weekly,31003.79,32165.0,"promotion activity, week of year, number of open days","quarter of year, PromoInterval_none, long-term promotion participation","Weekly demand forecast: 31,004 sales units. Main factors increasing the forecast: promotion activity, week of year, number of open days. Main factors reducing the forecast: quarter of year, PromoInterval_none, long-term promotion participation. Recommendation: maintain standard inventory levels; monitor demand changes."
5,2015-05-11,Weekly,21586.74,20900.0,"recent 12-week demand volatility, school holiday period, competition proximity","Assortment_b, quarter of year, PromoInterval_none","Weekly demand forecast: 21,587 sales units. Main factors increasing the forecast: recent 12-week demand volatility, school holiday period, competition proximity. Main factors reducing the forecast: Assortment_b, quarter of year, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
5,2015-05-18,Weekly,30148.29,30451.0,"promotion activity, time since last promotion, number of open days","quarter of year, PromoInterval_none, PromoInterval_Feb,May,Aug,Nov","Weekly demand forecast: 30,148 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, number of open days. Main factors reducing the forecast: quarter of year, PromoInterval_none, PromoInterval_Feb,May,Aug,Nov. Recommendation: maintain standard inventory levels; monitor demand changes."
5,2015-05-25,Weekly,20509.45,21498.0,"recent 12-week demand volatility, week of year, school holiday period","weekend days, PromoInterval_none, quarter of year","Weekly demand forecast: 20,509 sales units. Main factors increasing the forecast: recent 12-week demand volatility, week of year, school holiday period. Main factors reducing the forecast: weekend days, PromoInterval_none, quarter of year. Recommendation: maintain standard inventory levels; monitor demand changes."
5,2015-06-01,Weekly,34932.32,33591.0,"promotion activity, state holiday period, month-start timing","Assortment_b, PromoInterval_Feb,May,Aug,Nov, PromoInterval_none","Weekly demand forecast: 34,932 sales units. Main factors increasing the forecast: promotion activity, state holiday period, month-start timing. Main factors reducing the forecast: Assortment_b, PromoInterval_Feb,May,Aug,Nov, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
5,2015-06-08,Weekly,21494.4,23017.0,"number of open days, recent 12-week demand volatility, school holiday period","Assortment_b, quarter of year, PromoInterval_none","Weekly demand forecast: 21,494 sales units. Main factors increasing the forecast: number of open days, recent 12-week demand volatility, school holiday period. Main factors reducing the forecast: Assortment_b, quarter of year, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
5,2015-06-15,Weekly,32204.42,32517.0,"promotion activity, time since last promotion, number of open days","quarter of year, PromoInterval_none, PromoInterval_Feb,May,Aug,Nov","Weekly demand forecast: 32,204 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, number of open days. Main factors reducing the forecast: quarter of year, PromoInterval_none, PromoInterval_Feb,May,Aug,Nov. Recommendation: maintain standard inventory levels; monitor demand changes."
5,2015-06-22,Weekly,22613.77,20658.0,"number of open days, school holiday period, week of year","Assortment_b, quarter of year, PromoInterval_none","Weekly demand forecast: 22,614 sales units. Main factors increasing the forecast: number of open days, school holiday period, week of year. Main factors reducing the forecast: Assortment_b, quarter of year, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
5,2015-06-29,Weekly,33387.52,33261.0,"promotion activity, month-start timing, number of open days","quarter of year, Promo2SinceWeek, PromoInterval_none","Weekly demand forecast: 33,388 sales units. Main factors increasing the forecast: promotion activity, month-start timing, number of open days. Main factors reducing the forecast: quarter of year, Promo2SinceWeek, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
5,2015-07-06,Weekly,22979.82,24230.0,"number of open days, week of year, recent 12-week demand volatility","PromoInterval_Mar,Jun,Sept,Dec, quarter of year, PromoInterval_none","Weekly demand forecast: 22,980 sales units. Main factors increasing the forecast: number of open days, week of year, recent 12-week demand volatility. Main factors reducing the forecast: PromoInterval_Mar,Jun,Sept,Dec, quarter of year, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
5,2015-07-13,Weekly,32017.33,31318.0,"promotion activity, time since last promotion, time progression","PromoInterval_none, Assortment_a, weekend days","Weekly demand forecast: 32,017 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, time progression. Main factors reducing the forecast: PromoInterval_none, Assortment_a, weekend days. Recommendation: maintain standard inventory levels; monitor demand changes."
5,2015-07-20,Weekly,21836.0,20833.0,"number of open days, recent 12-week demand volatility, competition proximity","StoreType_c, PromoInterval_none, quarter of year","Weekly demand forecast: 21,836 sales units. Main factors increasing the forecast: number of open days, recent 12-week demand volatility, competition proximity. Main factors reducing the forecast: StoreType_c, PromoInterval_none, quarter of year. Recommendation: maintain standard inventory levels; monitor demand changes."
5,2015-07-27,Weekly,29804.8,28806.0,"promotion activity, month-end timing, time progression","Promo2SinceYear, StoreType_c, PromoInterval_none","Weekly demand forecast: 29,805 sales units. Main factors increasing the forecast: promotion activity, month-end timing, time progression. Main factors reducing the forecast: Promo2SinceYear, StoreType_c, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
6,2015-05-04,Weekly,32322.09,31891.0,"promotion activity, week of year, number of open days","Assortment_a, Assortment_b, PromoInterval_none","Weekly demand forecast: 32,322 sales units. Main factors increasing the forecast: promotion activity, week of year, number of open days. Main factors reducing the forecast: Assortment_a, Assortment_b, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
6,2015-05-11,Weekly,22535.77,21624.0,"recent 12-week demand volatility, recent 4-week demand volatility, school holiday period","weekend days, Assortment_b, PromoInterval_none","Weekly demand forecast: 22,536 sales units. Main factors increasing the forecast: recent 12-week demand volatility, recent 4-week demand volatility, school holiday period. Main factors reducing the forecast: weekend days, Assortment_b, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
6,2015-05-18,Weekly,31031.59,32708.0,"promotion activity, time since last promotion, number of open days","PromoInterval_none, PromoInterval_Feb,May,Aug,Nov, Assortment_b","Weekly demand forecast: 31,032 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, number of open days. Main factors reducing the forecast: PromoInterval_none, PromoInterval_Feb,May,Aug,Nov, Assortment_b. Recommendation: maintain standard inventory levels; monitor demand changes."
6,2015-05-25,Weekly,21768.21,23092.0,"recent 12-week demand volatility, week of year, school holiday period","PromoInterval_Jan,Apr,Jul,Oct, PromoInterval_none, quarter of year","Weekly demand forecast: 21,768 sales units. Main factors increasing the forecast: recent 12-week demand volatility, week of year, school holiday period. Main factors reducing the forecast: PromoInterval_Jan,Apr,Jul,Oct, PromoInterval_none, quarter of year. Recommendation: maintain standard inventory levels; monitor demand changes."
6,2015-06-01,Weekly,34873.04,33843.0,"promotion activity, state holiday period, month-start timing","quarter of year, Promo2SinceYear, PromoInterval_none","Weekly demand forecast: 34,873 sales units. Main factors increasing the forecast: promotion activity, state holiday period, month-start timing. Main factors reducing the forecast: quarter of year, Promo2SinceYear, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
