Store,Period,Forecast Type,Predicted Sales,Important Positive Factors,Important Negative Factors,Forecast Summary
1,2015-07-20,Weekly,22257.04,"number of open days, school holiday period, recent 12-week sales variability","recent 12-week average sales, promotion activity, sales fifty-two weeks ago","Weekly predicted sales: 22,257. Main factors increasing the model prediction: number of open days, school holiday period, recent 12-week sales variability. Main factors decreasing the model prediction: recent 12-week average sales, promotion activity, sales fifty-two weeks ago."
1,2015-07-27,Weekly,26872.28,"promotion activity, month-end timing, time progression","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 26,872. Main factors increasing the model prediction: promotion activity, month-end timing, time progression. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
2,2015-05-04,Weekly,33197.41,"promotion activity, week of year, number of open days","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 33,197. Main factors increasing the model prediction: promotion activity, week of year, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
2,2015-05-11,Weekly,22246.48,"recent 12-week sales variability, school holiday period, recent 4-week sales variability","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 22,246. Main factors increasing the model prediction: recent 12-week sales variability, school holiday period, recent 4-week sales variability. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
2,2015-05-18,Weekly,31577.45,"promotion activity, number of open days, school holiday period","recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales","Weekly predicted sales: 31,577. Main factors increasing the model prediction: promotion activity, number of open days, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales."
2,2015-05-25,Weekly,21464.36,"week of year, school holiday period, recent 4-week sales variability","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 21,464. Main factors increasing the model prediction: week of year, school holiday period, recent 4-week sales variability. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
2,2015-06-01,Weekly,35275.66,"promotion activity, month-start timing, week of year","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 35,276. Main factors increasing the model prediction: promotion activity, month-start timing, week of year. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
2,2015-06-08,Weekly,23168.49,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 23,168. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
2,2015-06-15,Weekly,33206.56,"promotion activity, number of open days, school holiday period","recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales","Weekly predicted sales: 33,207. Main factors increasing the model prediction: promotion activity, number of open days, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales."
2,2015-06-22,Weekly,23581.4,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 23,581. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
2,2015-06-29,Weekly,36012.91,"promotion activity, month-start timing, number of open days","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 36,013. Main factors increasing the model prediction: promotion activity, month-start timing, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
2,2015-07-06,Weekly,23841.57,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 23,842. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
2,2015-07-13,Weekly,33561.91,"promotion activity, number of open days, time since previous promotion","recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales","Weekly predicted sales: 33,562. Main factors increasing the model prediction: promotion activity, number of open days, time since previous promotion. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales."
2,2015-07-20,Weekly,22353.58,"number of open days, recent 12-week sales variability, state holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 22,354. Main factors increasing the model prediction: number of open days, recent 12-week sales variability, state holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
2,2015-07-27,Weekly,32513.27,"promotion activity, month-end timing, time progression","recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales","Weekly predicted sales: 32,513. Main factors increasing the model prediction: promotion activity, month-end timing, time progression. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales."
3,2015-05-04,Weekly,47509.06,"promotion activity, week of year, sales fifty-two weeks ago","recent 8-week weighted sales trend, sales two periods ago, time since previous promotion","Weekly predicted sales: 47,509. Main factors increasing the model prediction: promotion activity, week of year, sales fifty-two weeks ago. Main factors decreasing the model prediction: recent 8-week weighted sales trend, sales two periods ago, time since previous promotion."
3,2015-05-11,Weekly,30938.65,"recent 12-week average sales, recent 4-week average sales, recent 4-week weighted sales trend","promotion activity, sales fifty-two weeks ago, number of open days","Weekly predicted sales: 30,939. Main factors increasing the model prediction: recent 12-week average sales, recent 4-week average sales, recent 4-week weighted sales trend. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, number of open days."
3,2015-05-18,Weekly,45139.13,"promotion activity, recent 12-week average sales, recent 4-week average sales","week of year, sales fifty-two weeks ago, recent 8-week weighted sales trend","Weekly predicted sales: 45,139. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, recent 4-week average sales. Main factors decreasing the model prediction: week of year, sales fifty-two weeks ago, recent 8-week weighted sales trend."
3,2015-05-25,Weekly,29208.14,"recent 4-week average sales, week of year, recent 12-week average sales","promotion activity, sales fifty-two weeks ago, number of open days","Weekly predicted sales: 29,208. Main factors increasing the model prediction: recent 4-week average sales, week of year, recent 12-week average sales. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, number of open days."
3,2015-06-01,Weekly,45712.02,"promotion activity, sales fifty-two weeks ago, week of year","number of open days, recent 8-week weighted sales trend, previous period sales","Weekly predicted sales: 45,712. Main factors increasing the model prediction: promotion activity, sales fifty-two weeks ago, week of year. Main factors decreasing the model prediction: number of open days, recent 8-week weighted sales trend, previous period sales."
3,2015-06-08,Weekly,31441.24,"number of open days, week of year, recent 12-week average sales","promotion activity, sales fifty-two weeks ago, recent 8-week weighted sales trend","Weekly predicted sales: 31,441. Main factors increasing the model prediction: number of open days, week of year, recent 12-week average sales. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 8-week weighted sales trend."
3,2015-06-15,Weekly,47570.25,"promotion activity, recent 4-week average sales, recent 12-week average sales","recent 8-week weighted sales trend, sales fifty-two weeks ago, calendar year","Weekly predicted sales: 47,570. Main factors increasing the model prediction: promotion activity, recent 4-week average sales, recent 12-week average sales. Main factors decreasing the model prediction: recent 8-week weighted sales trend, sales fifty-two weeks ago, calendar year."
3,2015-06-22,Weekly,33528.98,"recent 12-week average sales, number of open days, recent 4-week weighted sales trend","promotion activity, sales fifty-two weeks ago, recent 8-week weighted sales trend","Weekly predicted sales: 33,529. Main factors increasing the model prediction: recent 12-week average sales, number of open days, recent 4-week weighted sales trend. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 8-week weighted sales trend."
3,2015-06-29,Weekly,49127.51,"promotion activity, sales fifty-two weeks ago, month-start timing","school holiday period, recent 8-week weighted sales trend, calendar year","Weekly predicted sales: 49,128. Main factors increasing the model prediction: promotion activity, sales fifty-two weeks ago, month-start timing. Main factors decreasing the model prediction: school holiday period, recent 8-week weighted sales trend, calendar year."
3,2015-07-06,Weekly,33576.23,"recent 12-week average sales, number of open days, recent 4-week weighted sales trend","promotion activity, sales fifty-two weeks ago, school holiday period","Weekly predicted sales: 33,576. Main factors increasing the model prediction: recent 12-week average sales, number of open days, recent 4-week weighted sales trend. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, school holiday period."
3,2015-07-13,Weekly,46893.9,"promotion activity, recent 4-week average sales, recent 12-week average sales","school holiday period, sales fifty-two weeks ago, recent 8-week weighted sales trend","Weekly predicted sales: 46,894. Main factors increasing the model prediction: promotion activity, recent 4-week average sales, recent 12-week average sales. Main factors decreasing the model prediction: school holiday period, sales fifty-two weeks ago, recent 8-week weighted sales trend."
3,2015-07-20,Weekly,32352.91,"recent 12-week average sales, number of open days, recent 4-week weighted sales trend","promotion activity, sales fifty-two weeks ago, school holiday period","Weekly predicted sales: 32,353. Main factors increasing the model prediction: recent 12-week average sales, number of open days, recent 4-week weighted sales trend. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, school holiday period."
3,2015-07-27,Weekly,45399.16,"promotion activity, month-end timing, recent 4-week average sales","weekend days, school holiday period, number of open days","Weekly predicted sales: 45,399. Main factors increasing the model prediction: promotion activity, month-end timing, recent 4-week average sales. Main factors decreasing the model prediction: weekend days, school holiday period, number of open days."
4,2015-05-04,Weekly,65756.14,"promotion activity, recent 12-week average sales, sales fifty-two weeks ago","sales two periods ago, calendar year, time since previous promotion","Weekly predicted sales: 65,756. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago. Main factors decreasing the model prediction: sales two periods ago, calendar year, time since previous promotion."
4,2015-05-11,Weekly,45427.0,"recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales","promotion activity, number of open days, week of year","Weekly predicted sales: 45,427. Main factors increasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales. Main factors decreasing the model prediction: promotion activity, number of open days, week of year."
4,2015-05-18,Weekly,62659.46,"promotion activity, recent 12-week average sales, sales fifty-two weeks ago","week of year, calendar year, month-start timing","Weekly predicted sales: 62,659. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago. Main factors decreasing the model prediction: week of year, calendar year, month-start timing."
4,2015-05-25,Weekly,45245.34,"recent 12-week average sales, recent 8-week weighted sales trend, sales fifty-two weeks ago","promotion activity, number of open days, time since previous promotion","Weekly predicted sales: 45,245. Main factors increasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, sales fifty-two weeks ago. Main factors decreasing the model prediction: promotion activity, number of open days, time since previous promotion."
4,2015-06-01,Weekly,68979.34,"promotion activity, sales fifty-two weeks ago, recent 12-week average sales","calendar year, month-end timing, recent 4-week sales variability","Weekly predicted sales: 68,979. Main factors increasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales. Main factors decreasing the model prediction: calendar year, month-end timing, recent 4-week sales variability."
4,2015-06-08,Weekly,48411.82,"recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales","promotion activity, calendar year, time since previous promotion","Weekly predicted sales: 48,412. Main factors increasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales. Main factors decreasing the model prediction: promotion activity, calendar year, time since previous promotion."
4,2015-06-15,Weekly,65109.0,"promotion activity, recent 12-week average sales, sales fifty-two weeks ago","calendar year, month-start timing, recent 4-week sales variability","Weekly predicted sales: 65,109. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago. Main factors decreasing the model prediction: calendar year, month-start timing, recent 4-week sales variability."
4,2015-06-22,Weekly,48515.19,"recent 12-week average sales, recent 8-week weighted sales trend, sales fifty-two weeks ago","promotion activity, time since previous promotion, calendar year","Weekly predicted sales: 48,515. Main factors increasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, sales fifty-two weeks ago. Main factors decreasing the model prediction: promotion activity, time since previous promotion, calendar year."
4,2015-06-29,Weekly,69288.51,"promotion activity, sales fifty-two weeks ago, recent 12-week average sales","calendar year, recent 8-week sales variability, recent 4-week sales variability","Weekly predicted sales: 69,289. Main factors increasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales. Main factors decreasing the model prediction: calendar year, recent 8-week sales variability, recent 4-week sales variability."
4,2015-07-06,Weekly,50823.11,"recent 12-week average sales, sales fifty-two weeks ago, recent 8-week weighted sales trend","promotion activity, calendar year, time since previous promotion","Weekly predicted sales: 50,823. Main factors increasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 8-week weighted sales trend. Main factors decreasing the model prediction: promotion activity, calendar year, time since previous promotion."
4,2015-07-13,Weekly,69007.87,"promotion activity, sales fifty-two weeks ago, recent 12-week average sales","week of year, calendar year, month-start timing","Weekly predicted sales: 69,008. Main factors increasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales. Main factors decreasing the model prediction: week of year, calendar year, month-start timing."
4,2015-07-20,Weekly,48487.84,"recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week weighted sales trend","promotion activity, school holiday period, calendar year","Weekly predicted sales: 48,488. Main factors increasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week weighted sales trend. Main factors decreasing the model prediction: promotion activity, school holiday period, calendar year."
4,2015-07-27,Weekly,62039.54,"promotion activity, recent 12-week average sales, sales fifty-two weeks ago","weekend days, school holiday period, number of open days","Weekly predicted sales: 62,040. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago. Main factors decreasing the model prediction: weekend days, school holiday period, number of open days."
5,2015-05-04,Weekly,30731.0,"promotion activity, week of year, number of open days","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 30,731. Main factors increasing the model prediction: promotion activity, week of year, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
5,2015-05-11,Weekly,20881.34,"recent 12-week sales variability, school holiday period, recent 4-week sales variability","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 20,881. Main factors increasing the model prediction: recent 12-week sales variability, school holiday period, recent 4-week sales variability. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
5,2015-05-18,Weekly,29359.26,"promotion activity, number of open days, school holiday period","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 29,359. Main factors increasing the model prediction: promotion activity, number of open days, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
5,2015-05-25,Weekly,19961.05,"week of year, school holiday period, recent 12-week sales variability","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 19,961. Main factors increasing the model prediction: week of year, school holiday period, recent 12-week sales variability. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
5,2015-06-01,Weekly,32891.5,"promotion activity, month-start timing, week of year","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 32,892. Main factors increasing the model prediction: promotion activity, month-start timing, week of year. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
5,2015-06-08,Weekly,22011.94,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 22,012. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
5,2015-06-15,Weekly,31266.46,"promotion activity, number of open days, school holiday period","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 31,266. Main factors increasing the model prediction: promotion activity, number of open days, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
5,2015-06-22,Weekly,22415.08,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 22,415. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
5,2015-06-29,Weekly,33320.2,"promotion activity, month-start timing, number of open days","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 33,320. Main factors increasing the model prediction: promotion activity, month-start timing, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
5,2015-07-06,Weekly,22277.74,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 22,278. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
5,2015-07-13,Weekly,31297.39,"promotion activity, number of open days, distance to nearest competitor","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 31,297. Main factors increasing the model prediction: promotion activity, number of open days, distance to nearest competitor. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
5,2015-07-20,Weekly,21310.96,"number of open days, recent 12-week sales variability, state holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 21,311. Main factors increasing the model prediction: number of open days, recent 12-week sales variability, state holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
5,2015-07-27,Weekly,28990.68,"promotion activity, month-end timing, time progression","recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales","Weekly predicted sales: 28,991. Main factors increasing the model prediction: promotion activity, month-end timing, time progression. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales."
6,2015-05-04,Weekly,31841.36,"promotion activity, week of year, number of open days","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 31,841. Main factors increasing the model prediction: promotion activity, week of year, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
6,2015-05-11,Weekly,21657.01,"recent 12-week sales variability, school holiday period, recent 4-week sales variability","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 21,657. Main factors increasing the model prediction: recent 12-week sales variability, school holiday period, recent 4-week sales variability. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
6,2015-05-18,Weekly,30472.15,"promotion activity, number of open days, school holiday period","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 30,472. Main factors increasing the model prediction: promotion activity, number of open days, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
6,2015-05-25,Weekly,21052.84,"week of year, school holiday period, recent 12-week sales variability","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 21,053. Main factors increasing the model prediction: week of year, school holiday period, recent 12-week sales variability. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
6,2015-06-01,Weekly,34107.07,"promotion activity, month-start timing, week of year","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 34,107. Main factors increasing the model prediction: promotion activity, month-start timing, week of year. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
6,2015-06-08,Weekly,23008.6,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 23,009. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
6,2015-06-15,Weekly,32697.65,"promotion activity, number of open days, school holiday period","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 32,698. Main factors increasing the model prediction: promotion activity, number of open days, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
6,2015-06-22,Weekly,23122.8,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 23,123. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
6,2015-06-29,Weekly,34198.53,"promotion activity, month-start timing, number of open days","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 34,199. Main factors increasing the model prediction: promotion activity, month-start timing, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
6,2015-07-06,Weekly,23789.54,"number of open days, week of year, school holiday period","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 23,790. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
6,2015-07-13,Weekly,30042.73,"promotion activity, number of open days, time since previous promotion","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 30,043. Main factors increasing the model prediction: promotion activity, number of open days, time since previous promotion. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
6,2015-07-20,Weekly,22016.12,"number of open days, recent 12-week sales variability, recent 4-week sales variability","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 22,016. Main factors increasing the model prediction: number of open days, recent 12-week sales variability, recent 4-week sales variability. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
6,2015-07-27,Weekly,28880.86,"promotion activity, month-end timing, time progression","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 28,881. Main factors increasing the model prediction: promotion activity, month-end timing, time progression. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
7,2015-05-04,Weekly,58677.93,"promotion activity, recent 12-week average sales, sales fifty-two weeks ago","sales two periods ago, time since previous promotion, calendar year","Weekly predicted sales: 58,678. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago. Main factors decreasing the model prediction: sales two periods ago, time since previous promotion, calendar year."
7,2015-05-11,Weekly,39234.62,"recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales","promotion activity, sales fifty-two weeks ago, number of open days","Weekly predicted sales: 39,235. Main factors increasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales. Main factors decreasing the model prediction: promotion activity, sales fifty-two weeks ago, number of open days."
7,2015-05-18,Weekly,57517.55,"promotion activity, recent 12-week average sales, sales fifty-two weeks ago","week of year, calendar year, month-start timing","Weekly predicted sales: 57,518. Main factors increasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago. Main factors decreasing the model prediction: week of year, calendar year, month-start timing."
7,2015-05-25,Weekly,40459.69,"recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales","promotion activity, number of open days, time since previous promotion","Weekly predicted sales: 40,460. Main factors increasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales. Main factors decreasing the model prediction: promotion activity, number of open days, time since previous promotion."
7,2015-06-01,Weekly,64690.94,"promotion activity, sales fifty-two weeks ago, recent 12-week average sales","calendar year, CompetitionOpenSinceYear, month-end timing","Weekly predicted sales: 64,691. Main factors increasing the model prediction: promotion activity, sales fifty-two weeks ago, recent 12-week average sales. Main factors decreasing the model prediction: calendar year, CompetitionOpenSinceYear, month-end timing."
7,2015-06-08,Weekly,43602.34,"recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales","promotion activity, time since previous promotion, sales fifty-two weeks ago","Weekly predicted sales: 43,602. Main factors increasing the model prediction: recent 12-week average sales, recent 8-week weighted sales trend, recent 4-week average sales. Main factors decreasing the model prediction: promotion activity, time since previous promotion, sales fifty-two weeks ago."
